"TC_KHY01","TC_KHY02","TC_KHY03","TC_KHY04","TC_KHY05","TC_KHY06","TC_KHY07","TC_KHY08","TC_KHY09","TC_KHY10","TC_KHY11","TC_KHY12","TC_KHY13","TC_KHY14","TC_KHY15","TC_KHY16","TC_KHY17","TC_KHY18","TC_KHY19","TC_KHY20","TC_KHY21","TC_KHY22","TC_KHY23","TC_KHY24","TC_KHY25","TC_KHY26","TC_KHY27","TC_KHY28","TC_KHY29","TC_KHY30","TC_KHY31","TC_KHY32","TC_KHY33","TC_KHY34","TC_KHY35","TC_KHY36","TC_KHYUD01","TC_KHYUD02","TC_KHYUD03","TC_KHYUD04","TC_KHYUD05","TC_KHYUD06","TC_KHYUD07","TC_KHYUD08","TC_KHYUD09","TC_KHYUD10","TC_KHYUD11","TC_KHYUD12","TC_KHYUD13","TC_KHYUD14","TC_KHYUD15"
"2016","12","D000010","RMB","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1810869.950000","1810869.950000","-39220.380000","-39220.380000","901035.220000","901035.220000","0.000000","0.000000","540000.000000","540000.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"2017","1","D000010","RMB","1810869.950000","1810869.950000","-39220.380000","-39220.380000","901035.220000","901035.220000","0.000000","0.000000","540000.000000","540000.000000","0.000000","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","",""
"2017","5","D000010","RMB","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1242348.560000","1242348.560000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"2017","6","D000010","RMB","1242348.560000","1242348.560000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","400635.640000","400635.640000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","","","","","",""
"2017","7","D000010","RMB","1642984.200000","1642984.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","",""
"2017","8","D000010","RMB","400635.640000","400635.640000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","","","","","","","","","","","","","","",""
